Squad,Product,ID,Event Name,screen_figma,screen_analytics,object,country,Estado Unificado,Acción Sugerida,Eventos,Fila GA4,Fila FE,Archivo FE,Use Case,Business Question
Barton,KYC,AMP-9-0015,kyc,KYC_SecurityQuestions_CO,Kyc Completed Security Questions,next_button_clicked,"CL, CO, PE","🟠 DISPARA, NO ESTÁ EN CÓDIGO",Revisar naming en código FE,31770,Fila 120,,,,¿Cuántos usuarios llegan a cada modulo del KYC? 
Barton,KYC,AMP-9-0016,kyc,KYC_IdentityValidationPersonalDataAndIDInformation_CO,Kyc Completed Personal Questions,next_button_clicked,"CL, CO, PE","🟠 DISPARA, NO ESTÁ EN CÓDIGO",Revisar naming en código FE,16769,Fila 166,,,,¿Cuántos usuarios llegan a cada modulo del KYC? 
Barton,KYC,AMP-9-0017,kyc,KYC_ResidenceInformation_CO,kYC Completed fiscal address residence Questions,next_button_clicked,"CL, CO, PE","🟠 DISPARA, NO ESTÁ EN CÓDIGO",Revisar naming en código FE,6058,Fila 233,,,,¿Cuántos usuarios llegan a cada modulo del KYC? 
Barton,KYC,AMP-9-0018,kyc,KYC_WorkingInformation_CO,Kyc Completed Work Questions,next_button_clicked,"CL, CO, PE",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuántos usuarios llegan a cada modulo del KYC? 
Barton,KYC,AMP-9-0019,kyc,KYC_FinancialInformation, Kyc Completed Financial Questions,next_button_clicked,"CL, CO, PE",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuántos usuarios llegan a cada modulo del KYC? 
Barton,KYC,AMP-9-0039,kyc,KYC_IDPhotoInstructions,KYC_IDPhotoInstructions_Continued,action_button_clicked,CL,🟢 VIVO (Exacto),Mantener,47467,Fila 90,Fila 197,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuantas personas avanzan para tomar las fotos del documento?
Barton,KYC,AMP-9-0040,kyc,KYC_FrontIDPhoto,KYC_FrontIDPhoto_Taken,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto),Mantener,2413,Fila 293,Fila 198,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente toma las fotos del documento?
Barton,KYC,AMP-9-0041,kyc,KYC_BackIDPhoto_CO,CompleteKYC_IDVerificationPicture_Taken,action_button_clicked,"CL,PE,CO",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuanta gente toma las fotos del documento?
Barton,KYC,AMP-9-0043,kyc,KYC_FrontIDPhotoConfirmation,KYC_FrontIDPhotoConfirmation_Repeated,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto),Mantener,2407,Fila 300,Fila 201,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente le da a repetir a la foto frontal?
Barton,KYC,AMP-9-0044,kyc,KYC_FrontIDPhotoConfirmation,KYC_FrontIDPhotoConfirmation_Saved,action_button_clicked,CL,🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,2407,Fila 300,Fila 201,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente le da confirmar al tomar la foto frontal?
Barton,KYC,AMP-9-0045,kyc,KYC_BackIDPhotoConfirmation,KYC_BackIDPhotoConfirmation_Repeated,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto),Mantener,1737,Fila 313,Fila 203,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente le da a repetir a la foto posterior?
Barton,KYC,AMP-9-0046,kyc,KYC_BackIDPhotoConfirmation,KYC_BackIDPhotoConfirmation_Saved,action_button_clicked,CL,🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,1737,Fila 313,Fila 203,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente le da confirmar a la foto posterior?
Barton,KYC,AMP-9-0051,kyc,View_error,Inte,action_button_clicked,"CL,CO,PE",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,"¿Cuanta gente tiene un error de foto?




"
Barton,KYC,AMP-9-0020,kyc,KYC_CompleteBonding,Kyc Completed Sigining Contract,next_button_clicked,CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,"¿Cuántos usuarios llegan a cada modulo del KYC? , ¿Cuanto es el tiempo promedio que toma hacer el KYC? (end to end) (min)"
Barton,KYC,AMP-9-0042,kyc,KYC_AllowAccessToCamera,KYC_AllowAccessToCamera_Given,action_button_clicked,CL,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 200,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuanta gente le da los permisos a la foto?
Barton,KYC,AMP-9-0047,kyc,KYC_animationbackphoto,KYC_BackIDPhotoSuccess_Loading,,CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuanta gente termina el proceso de escaneo de su foto?
Barton,KYC,AMP-9-0049,kyc,KYC_AllowAccessToCamera,KYC_AllowAccessToCamera_Clicked,action_button_clicked,CL,"🟠 EN CÓDIGO, NO DISPARA (⚠️ Colisión)",Revisar trigger en código,0,,Fila 200,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,"¿Cuanta gente le da los permisos a la foto?




"
Barton_Acciones,KYC,AMP-2-0014,kyc,KYC_ResumeProcess,Resume process,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Qué porcentaje de usuarios retoman el flujo de KYC? 
Barton_Acciones,KYC,AMP-2-0015,kyc,KYC_SecurityQuestions,Security Questions,action_button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-2-0016,kyc,KYC_IdentityValidationPersonalDataAndIDInformation,Identity Validation,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-2-0017,kyc,KYC_ResidenceInformation,Residence Information,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-2-0018,kyc,KYC_WorkingInformation,Working Information,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Qué porcentaje de usuarios completa el módulo de información laboral?
Barton_Acciones,KYC,AMP-2-0019,kyc,KYC_FinancialInformation,Financial Information,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-2-0020,kyc,KYC_PEPNoInvestment_STK,PEP No Investment,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-2-0021,kyc,KYC_SuccessVinculation,Success Vinculation,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de conversión de clientes por paso del KYC?
Barton_Acciones,KYC,AMP-13-0047 (Colombia tiene botón de asistida),kyc,KYC_PEPNoInvestment_STK,,Button,CO-PE-CL,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de usuarios que experimenta bloqueos en el flujo de KYC?
Barton_Acciones,KYC,AMP-13-0048 (tagging Parker AMP-3-0005),kyc,KYC_Step1LinkAccountBCP_STKPE,,action_button,PE,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de usuarios que experimenta bloqueos en el flujo de KYC?
Barton_Acciones,KYC,AMP-13-0050,kyc,KYC_KeyBCPLockedModal_STKPE,,action_button,PE,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de usuarios que experimenta bloqueos en el flujo de KYC?
Barton_Acciones,KYC,AMP-13-0051,kyc,KYC_ConfirmationAnswerPEP_STK,,action_button,PE,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es el porcentaje de usuarios que experimenta bloqueos en el flujo de KYC?
Barton_Acciones,KYC,AMP-5-0039,kyc,KYC_accessRefused,KYC_Validation_Failure,screen,"PE, CO",🟢 VIVO (Exacto),Mantener,13964,Fila 179,Fila 395,packages/features/generic/kyc/module/lib/core/attribution/events.dart,,¿Qué porcentaje de usuarios no puede invertir en el producto por validación de reglas?
Barton_Biometria,KYC,AMP-5-0023,kyc,KYC_IdentityValidationInstructions,KYC_PhotoInstructions_Continued,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es la pantalla dónde más caídas de usuario se presenta?
Barton_Biometria,KYC,AMP-5-0024,kyc,KYC_IdentityValidationInstructions,KYC_PhotoInstructions_Abandoned,close_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantos usuarios abandonan la toma de selfie voluntariamente?
Barton_Biometria,KYC,AMP-5-0020,kyc,KYC_AllowAccessToCamera,KYC_AllowAccessToCamera_Given,action_button_clicked,"CL,CO,PE","🟠 EN CÓDIGO, NO DISPARA (⚠️ Colisión)",Revisar trigger en código,0,,Fila 200,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton_Biometria,KYC,AMP-5-0027,kyc,KYC_IdentityValidationTakeAPhoto,KYC_SelfiePhoto_Autotaken,screen,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es la pantalla dónde más caídas de usuario se presenta?
Barton_Biometria,KYC,AMP-5-0026,kyc,KYC_IdentityValidationTakeAPhoto,KYC_SelfiePhoto_Exit,back_arrow,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantos usuarios abandonan la toma de selfie voluntariamente?
Barton_Biometria,KYC,AMP-5-0025,kyc,KYC_IdentityValidationTakeAPhoto,KYC_SelfiePhoto_Taken,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es la pantalla dónde más caídas de usuario se presenta?
Barton_Biometria,KYC,AMP-5-0028,kyc,KYC_IdentityValidationConfirmPhoto,KYC_SelfiePhoto_Confirm,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuál es la pantalla dónde más caídas de usuario se presenta?
Barton_Biometria,KYC,AMP-5-0029,kyc,KYC_IdentityValidationConfirmPhoto,KYC_SelfiePhoto_Repeat,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantas veces un usuario debe repetir la toma de la selfie?
Barton_Biometria,KYC,AMP-5-0030,kyc,KYC_IdentityValidationRetryPhoto,KYC_SelfiePhoto_Retry,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantas veces un usuario debe repetir la toma de la selfie?
Barton_Biometria,KYC,AMP-5-0031,kyc,KYC_IdentityValidationErrorPhoto,KYC_SelfiePhoto_Error,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantas veces un usuario debe repetir la toma de la selfie si hay error?
Barton_Biometria,KYC,AMP-5-0011,kyc,KYC_IDPhotoInstructions,KYC_IDPhotoInstructions_Continued,action_button_clicked,"CL, CO, PE",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,47467,Fila 90,Fila 188,packages/features/generic/bcp_verify/module/lib/core/events/events.dart,,¿Cuál es la pantalla dónde más caídas de usuario se presenta?
Barton_Biometria,KYC,AMP-5-0020,kyc,KYC_AllowAccessToCamera,KYC_AllowAccessToCamera_Given,action_button_clicked,"CL,CO,PE","🟠 EN CÓDIGO, NO DISPARA (⚠️ Colisión)",Revisar trigger en código,0,,Fila 200,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton_Biometria,KYC,AMP-5-0021,kyc,KYC_NoAllowAccessToCamera,KYC_NoAllowAccessToCamera_Clicked,action_button_clicked,"CL,CO,PE","🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 206,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,"Queremos saber cómo se comportan los clientes que consultan la información contenida en el botón de ""Así vas a invertir""  en la pantalla de creación de meta de un portafolio para aumentar el % de conversión y el monto invertido por un cliente",¿Cuántos usuarios dan clic a este botón?
Barton_Biometria,KYC,AMP-5-0012,kyc,KYC_FrontIDPhoto,KYC_FrontIDPhoto_Taken,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,2413,Fila 293,Fila 198,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuántos usuarios completan satisfactoriamente el flujo de la toma frontal del ID?
Barton_Biometria,KYC,AMP-5-0014,kyc,KYC_FrontIDPhotoConfirmation,KYC_FrontIDPhotoConfirmation_Repeated,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,2407,Fila 300,Fila 201,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuantas veces un usuario debe repetir la toma frontal del ID?
Barton_Biometria,KYC,AMP-5-0015,kyc,KYC_FrontIDPhotoConfirmation,KYC_FrontIDPhotoConfirmation_Saved,action_button_clicked,"CL,CO,PE",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,2407,Fila 300,Fila 201,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuántos usuarios completan satisfactoriamente el flujo de la toma frontal del ID?
Barton_Biometria,KYC,AMP-5-0013,kyc,KYC_BackIDPhoto_CO,KYC_BackIDPhoto_Taken,action_button_clicked,"CL,PE,CO",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuántos usuarios completan satisfactoriamente el flujo de la toma del reverso del ID?
Barton_Biometria,KYC,AMP-5-0016,kyc,KYC_BackIDPhotoConfirmation,KYC_BackIDPhotoConfirmation_Repeated,action_button_clicked,"CL,PE,CO",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,1737,Fila 313,Fila 203,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuàntas veces un usuario debe repetir la toma del reverso del ID?
Barton_Biometria,KYC,AMP-5-0017,kyc,KYC_BackIDPhotoConfirmation,KYC_BackIDPhotoConfirmation_Saved,action_button_clicked,"CL,CO,PE",🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,1737,Fila 313,Fila 203,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuántos usuarios completan satisfactoriamente el flujo de la toma del reverso del ID?
Barton_Biometria,KYC,AMP-5-0039,kyc,KYC_IDPhotoInstructions,KYC_IDPhotoInstructions_Continued,action_button_clicked,CL,🟢 VIVO (Exacto) (⚠️ Colisión),Mantener,47467,Fila 90,Fila 197,packages/features/generic/biometric_verify/module/lib/core/attribution/biometric_event.dart,,¿Cuantas personas avanzan para tomar las fotos del documento?
Barton_Biometria,KYC,AMP-5-0018,kyc,View_error_ID,KYC_Error_Retry_ID,action_button_clicked,"CL,CO,PE",🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,,¿Cuantos errores presenta la app en el proceso de ID?
Danvers,RVI,AMP-12-0001,cash_in,CashIn_PendingResult_STKCO,Cash_In_Completed,action_button,CO,🟢 VIVO (Exacto),Mantener,6792,Fila 225,Fila 232,packages/features/generic/cash_in/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash in teniendo como finalidad de negocio aumentar la conversión de este flujo y así aumentar el NNM.,¿Cuál es el tiempo promedio que gastan los usuarios durante el Cash in?
Danvers,RVI,AMP-12-0002,cash_in,PurchaseOrder_NoCreditModal_STKCO,Cash_In_Start_Ord,action_button,CO,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,,Fila 23,packages/features/core/market_cap/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash in teniendo como finalidad de negocio aumentar la conversión de este flujo y así aumentar el NNM.,¿Desde qué punto accede la mayor cantidad  de usuarios al Flujo de Cash in?
Danvers,RVI,AMP-12-0003,cash_in,Portfolio_STK,Cash_In_Start_Por,action_button,CO,🟢 VIVO (Exacto),Mantener,3904,Fila 261,Fila 21,packages/features/core/market_cap/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash in teniendo como finalidad de negocio aumentar la conversión de este flujo y así aumentar el NNM.,¿Desde qué punto accede la mayor cantidad  de usuarios al Flujo de Cash in?
Danvers,RVI,AMP-12-0004,cash_in,Portfolio_STK,Cash_In_Start_Nav,action_button,CO,🟢 VIVO (Exacto),Mantener,17942,Fila 160,Fila 327,packages/features/generic/dashboard/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash in teniendo como finalidad de negocio aumentar la conversión de este flujo y así aumentar el NNM.,¿Desde qué punto accede la mayor cantidad  de usuarios al Flujo de Cash in?
Danvers,RVI,AMP-12-0005,cash_in,Movements_Home_STK,Cash_In_Start_Move,action_button,CO,🟢 VIVO (Exacto),Mantener,1547,Fila 312,Fila 20,packages/features/core/market_cap/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash in teniendo como finalidad de negocio aumentar la conversión de este flujo y así aumentar el NNM.,¿Desde qué punto accede la mayor cantidad  de usuarios al Flujo de Cash in?
Danvers,RVI,AMP-12-0006,cash_out,Portfolio_STK,Cash Out Start,action_button,CO,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,Fila 168,Fila 292,packages/features/generic/cash_out/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash out teniendo como finalidad de negocio aumentar la conversión de este flujo ,¿Desde qué punto accede la mayor cantidad de usuarios al Flujo de Cash out?
Danvers,RVI,AMP-12-0007,cash_out,Movements_Home_STK,Cash Out Start,action_button,CO,"🟠 EN CÓDIGO, NO DISPARA",Revisar trigger en código,0,Fila 288,Fila 291,packages/features/generic/cash_out/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash out teniendo como finalidad de negocio aumentar la conversión de este flujo ,¿Desde qué punto accede la mayor cantidad de usuarios al Flujo de Cash out?
Danvers,RVI,AMP-12-0008,cash_out,CashOut_STKCO,Cash_Out_Completed,action_button,CO,🟢 VIVO (Exacto),Mantener,4091,Fila 253,Fila 290,packages/features/generic/cash_out/module/lib/core/attribution/events.dart,Buscamos entender el comportamiento de los usuarios en el Flujo de Cash out teniendo como finalidad de negocio aumentar la conversión de este flujo ,¿Cuál es el tiempo promedio que gastan los usuarios durante el Cash out?
Danvers,KYC,AMP-12-0009,kyc,KYC_IdentityVinculationInstructions_CO,KYC_Start,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,"Buscamos construir el funnel de conversión y rastrear los pasos que  tienen mayor caida. Con esto podremos implementar mejoras en esos pasos, aumentando la conversión de usuarios que logran llegar al flujo de cashin ",¿Qué porcentaje de usuarios inicia el flujo de vinculación?
Danvers,KYC,AMP-12-0010,kyc,KYC_ResumeProcess_CO,KYC_Restart,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,"Buscamos construir el funnel de conversión y rastrear los pasos que  tienen mayor caida. Con esto podremos implementar mejoras en esos pasos, aumentando la conversión de usuarios que logran llegar al flujo de cashin ",¿Qué porcentaje de usuarios retoman el flujo de KYC? 
Danvers,KYC,AMP-12-0011,kyc,CompleteBonding_FinanceQ3_CO,KYC_Security_Questions_Success,action_button,CO,🔴 SIN RASTRO,Deprecar / Implementar de cero,0,,,,"Buscamos construir el funnel de conversión y rastrear los pasos que  tienen mayor caida. Con esto podremos implementar mejoras en esos pasos, aumentando la conversión de usuarios que logran llegar al flujo de cashin ",¿Qué porcentaje de usuarios de forma válida las preguntas de seguridad?
